"","x"
"986","laurelhurst united presbyterian church inc"
"987","concerned presbyterians inc"
"988","general assembly of the united presbyterian church"
"989","general assembly of the cumberland presbyterian church"
"990","general synod of the reformed church of america"
"991","american civil liberties union of tennessee"
"992","san francisco examiner"
"993","tulsa world"
"994","tulsa tribune"
"995","albuquerque journal"
"996","bristol va newspaper printing corp"
"997","charleston gazette"
"998","oil city pennsylvania derrick"
"999","deseret news publishing co"
"1000","el paso tx herald-post"
"1001","evansville in press"
"1002","knoxville tenn news-sentinel"
"1003","nashville tennessee banner"
"1004","pittsburgh pennsylvania press"
"1005","albuquerque tribune"
"1006","birmingham post-herald"
"1007","charleston w va daily mail"
"1008","columbus ohio citizen-journal"
"1009","franklin pa news-herald"
"1010","el paso times"
"1011","ft wayne ind news sentinel"
"1012","nashville tennessean"
"1013","salt lake city utah tribune"
"1014","san francisco calif chronicle"
"1015","employers association wi"
"1016","council of jewish federations and welfare funds inc"
"1017","national conference of catholic churches"
"1018","scholarship education and defense fund for racial equality inc"
"1019","legal aid society of alameda county inc"
"1020","connecticut civil liberties union"
"1021","bexar county legal aid association"
"1022","travelers aid association of america"
"1023","citizens committee for children of new york inc"
"1024","american institute of merchant shippings liner council"
"1025","new york county"
